IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	35.47573526420697	99.91125625643392	92.7689602308594	69.9755132288
Imagem 22	35.2403748904322	99.96204874396939	91.31496211950598	76.8809454057
Imagem 23	64.94935947833326	96.67812998405104	93.5913759825072	87.0277332625
Imagem 24	34.77769602690772	99.92387125541737	88.75402671712735	74.9170868489
Imagem 25	31.272877741350225	99.41620120546561	89.75314938772563	71.5622557907
Imagem 26	75.63895417156287	96.07589788995217	93.56322773180192	92.7508517209
Imagem 27	26.129713632743517	99.82697976077621	90.23657173756308	78.5063024132
Imagem 28	51.89155304811158	99.66699685965393	92.7913826778473	83.35169139
Imagem 29	55.43146100116414	99.28833697759809	93.84327009936766	83.2134043525
Imagem 30	68.85787591354378	97.51421070072138	94.19187935766791	87.6895600615
Imagem 31	33.64476541588808	99.82038772501014	93.91535941379792	69.3320949085
Imagem 32	39.225921921026135	99.86878860100971	92.54023900073899	77.2198180449
Imagem 33	28.014331510465773	99.97697974217311	91.38178787810536	78.5517670598
Imagem 34	35.75313092389447	99.22608943200869	90.02005724201653	73.4322480682
Imagem 35	65.17916798537117	98.99751835384139	94.66277827609676	87.3324395868
Imagem 36	27.613069551084457	99.81927710843374	88.19165546059222	77.0949239087
Imagem 37	47.31265249215755	99.74144809790775	92.95631698603442	82.3266586187
Imagem 38	22.839245495495494	99.81953098740853	89.95721389894545	71.9830342313
Imagem 39	70.63573578891447	97.7128440556693	94.26381489017112	90.0510228203
Imagem 40	72.54585768998186	98.2347614638762	95.35637978308692	90.3102230095
Médias	46.12147399713179	99.07407776006889	92.20272044357793	80.1754787366
