IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	45.299597282675016	99.7317403408774	93.6982595364776	79.6991591518
Imagem 22	41.40314206729148	99.86587090334386	92.05500554019116	84.4030715426
Imagem 23	73.42181935901586	93.63187799043062	91.66572933866635	90.5507861017
Imagem 24	41.42316586083666	99.80967813854345	89.7988330967989	86.47186106
Imagem 25	39.21443804309769	98.96231079133663	90.48977436346485	79.5804329011
Imagem 26	84.28686839012926	90.74389609854782	89.95002099389146	93.4766669724
Imagem 27	33.04477301845632	99.70990618573256	91.03460706560924	85.0889259839
Imagem 28	60.41999686569503	99.20174088983498	93.62045711862801	88.2426283761
Imagem 29	64.293509895227	98.54727917818393	94.29448961156278	90.2244611273
Imagem 30	75.16715907323899	95.77935816063827	93.38964029944249	91.114662129
Imagem 31	42.27564264431089	99.52499233060533	94.4164792724749	71.9778056094
Imagem 32	47.399231887840706	99.6653084236693	93.34907445792253	80.7542355308
Imagem 33	34.86705638317933	99.91303458154287	92.14396720646862	89.5477510095
Imagem 34	43.052922713570965	98.5686871988444	90.51675568476327	80.3948476289
Imagem 35	72.85930302071245	98.14807155413091	94.90662904483519	93.1920556786
Imagem 36	32.81118645967606	99.74881669535284	88.96961273611726	72.9396816239
Imagem 37	53.384454513767864	99.55077254686577	93.57610696113457	84.9665754225
Imagem 38	33.06587837837838	99.66905395971766	91.1361986645687	80.6723480522
Imagem 39	79.0047812998052	96.05020989722274	93.87899649467886	93.2675738766
Imagem 40	79.48800645031243	96.76813820749437	94.83193979555423	94.4609790587
Médias	53.80914668036088	98.17953720364578	92.38612886416254	85.5513254418
