IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	47.325387462880855	99.72666926981648	93.91829741184958	82.0160419202
Imagem 22	42.347110781471244	99.8606721011479	92.17661949246444	85.0196765707
Imagem 23	74.28201452157424	93.06319776714514	91.23605818332337	90.6796169983
Imagem 24	42.566218204750896	99.83523564565331	90.01599423306527	86.5227190748
Imagem 25	39.695069548333706	98.9954453175129	90.58636611886203	80.1718196267
Imagem 26	85.39952996474736	89.51307776651001	89.00732754534003	93.2454227703
Imagem 27	33.85158765885245	99.71560445708425	91.14455659697188	87.8170335253
Imagem 28	62.10311863344303	99.07159567517441	93.75126864628112	88.9215165894
Imagem 29	63.744179278230504	98.57409546598457	94.24977416440831	89.590096011
Imagem 30	75.83968278650288	95.58257500446075	93.2936420301155	91.0750699754
Imagem 31	42.46250189384374	99.51064314059236	94.42008445131431	72.3383442734
Imagem 32	48.91308400760655	99.6914481945619	93.55500081108849	80.6765624932
Imagem 33	35.87780501602866	99.92121956210353	92.27189801572108	91.247425312
Imagem 34	42.34749370707605	98.70891895026517	90.53433394181147	80.4855628232
Imagem 35	73.13007701234308	98.11188088098439	94.90978423038263	92.8672597091
Imagem 36	32.477722356106035	99.75096815834767	88.91771883432759	75.92308625
Imagem 37	53.72255141164168	99.52434740256376	93.59685684385262	86.0157742556
Imagem 38	34.230715090090094	99.70576828606148	91.31744221171229	76.3861135749
Imagem 39	80.33646183814415	95.71003163967988	93.75177634517262	93.6403630964
Imagem 40	80.17738359201773	96.66843020948855	94.82064694483216	94.3652274755
Médias	54.54148473828426	98.06209124475694	92.37377235264483	85.9502366163
