IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	50.32339421551478	99.62372652727983	94.15907656235909	86.7095596112
Imagem 22	44.54520935877554	99.80296539677258	92.42029781905646	81.8272041472
Imagem 23	77.69042223558247	91.45584130781499	90.11666359223082	91.0669745844
Imagem 24	44.826045827202016	99.77759531046934	90.35570273253587	84.7015123917
Imagem 25	43.7374669764777	98.7109091482849	90.91540999589259	84.5404067696
Imagem 26	87.5183607520564	86.54799470815038	86.667298740818	93.1305721032
Imagem 27	37.08923439177257	99.6596577929041	91.51721341023791	83.7067447579
Imagem 28	64.78921799091052	98.76809914220077	93.87802050583464	90.7115701566
Imagem 29	66.10884749708964	98.23425058789554	94.2457091237579	90.2396707617
Imagem 30	77.79894262167626	94.62211006601922	92.67168141194074	91.5469843105
Imagem 31	45.29569213676077	99.41811560499154	94.5886265620564	76.9104868656
Imagem 32	52.21298333271188	99.55972425104432	93.83798056992484	83.2717394477
Imagem 33	38.95907976617009	99.8889912011459	92.61154530507444	92.586423615
Imagem 34	44.99829081077721	98.37520955684657	90.63349334054493	81.9101692791
Imagem 35	75.27868621865879	97.62330679350636	94.75923680569015	93.3527563739
Imagem 36	34.98290646191784	99.72407487091222	89.29857494833172	69.3172503466
Imagem 37	56.315789473684205	99.39325796122239	93.8183392876475	84.6457736397
Imagem 38	38.89710022522522	99.6142410217959	91.83547414123471	77.7114649049
Imagem 39	82.55710996989552	94.82132886655499	93.25913661729743	93.5339008548
Imagem 40	82.05603708929651	95.81429894085687	94.27271782779758	94.4913537923
Médias	57.2990408676078	97.57178495283344	92.29310996501317	86.2956259357
