IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	60.04555993979579	99.22919719874035	94.88592298674362	84.1839189816
Imagem 22	55.579529364169645	99.40733654965895	93.55175799724341	82.7651622437
Imagem 23	63.15034916524071	96.76285885167464	93.49284406311442	85.8436808346
Imagem 24	51.529325204961104	99.54377130925127	91.31130184046316	78.5863581654
Imagem 25	43.40961899608492	98.76297768941905	90.91360454252069	74.6309734684
Imagem 26	59.06653936545241	98.82735083212792	93.93886037030515	83.5648664012
Imagem 27	51.438761729976804	99.21363855346792	92.99657534246575	79.5275184124
Imagem 28	55.57749569033067	99.49733386726241	93.17660007307403	82.034944247
Imagem 29	58.68015133876601	99.0361607327035	94.02574525745257	83.5933438279
Imagem 30	60.9392007463847	98.6031454716933	94.23649827158046	83.9295843659
Imagem 31	53.123579617191055	98.79417323925543	94.71886364762983	78.7366818323
Imagem 32	61.41541444498303	98.90059198892904	94.37059533894487	84.3857795835
Imagem 33	61.96115406373751	99.17127071823204	94.72690826369963	84.5984262434
Imagem 34	44.196525684452595	98.5813396876944	90.6934397043247	76.1150831664
Imagem 35	59.37686816471498	99.35322096991004	94.22916563371902	84.1950882508
Imagem 36	49.688953651291826	99.45890705679862	91.4442749745043	79.0983231234
Imagem 37	57.267340536772394	99.36268769624556	93.91487135072715	82.3725655231
Imagem 38	59.755067567567565	98.89029655867829	93.87649289227731	84.7139701839
Imagem 39	63.30440942093147	98.43559360588952	93.96065198070946	85.2123846347
Imagem 40	69.01834307599273	98.6493635984413	95.32927694135397	88.4201685393
Médias	56.92620938843991	98.9240608088037	93.48971257364268	82.3254411014
