IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	40.401903754627185	99.85750290318818	93.26720173144558	73.5077107801
Imagem 22	38.2172476569348	99.93085593079356	91.68565946291676	81.9717959341
Imagem 23	68.820237709846	95.48096092503987	92.88725518867288	89.41423567
Imagem 24	38.007147361782636	99.87710645517376	89.2689959676511	83.0953479501
Imagem 25	34.63411528790146	99.24263940168512	90.08083917472727	75.4200968037
Imagem 26	80.4054054054054	93.82892088478903	92.17853385885785	93.3865067679
Imagem 27	29.408913051005918	99.77673136794775	90.61959264599857	82.8076714021
Imagem 28	55.80003134304968	99.53421712647797	93.24020153996744	86.1810089789
Imagem 29	60.768335273573925	98.89795371096167	94.1639566395664	87.4276163822
Imagem 30	72.22438190017104	96.74696031199817	93.90388454968699	89.7871437664
Imagem 31	37.8011211554972	99.70163580766148	94.1780868217194	71.0089811867
Imagem 32	43.144785413326375	99.7970323671869	92.95073989293631	80.5818185542
Imagem 33	31.220064114652086	99.94833231021076	91.7394535912971	83.864148124
Imagem 34	38.65564498586034	99.03103022890461	90.27426588240597	79.8758637182
Imagem 35	69.33220803882266	98.6278564781305	94.87282348539824	90.7829964284
Imagem 36	29.717536288740682	99.78216437177281	88.49940886077093	74.6966573354
Imagem 37	50.170791216451725	99.66269080508606	93.25764136985313	83.7213016899
Imagem 38	27.815315315315313	99.74817074747266	90.5325043620182	80.3284776259
Imagem 39	75.20453338055604	96.92288603511385	94.15644469307011	93.0425590555
Imagem 40	76.4482967143721	97.60446447648215	95.23396528125974	92.964543905
Médias	49.90990076839463	98.70000563230384	92.34957275001099	83.6933241029
