IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	99.44270430785502	11.46467745452517	21.216520876544323	93.6832448085
Imagem 22	87.49241453711821	86.98999750457494	87.05712252380481	93.5145256598
Imagem 23	99.54215418767053	11.507675438596491	20.072166757400016	76.5220052711
Imagem 24	87.30292200966996	85.92325134992578	86.15980716811966	93.1238629378
Imagem 25	98.96871120730815	6.625853345535254	19.720515818028357	86.7151750297
Imagem 26	99.96327849588718	0.20951194526950853	12.47398337644982	72.6107242222
Imagem 27	90.9934554520586	85.47355225055817	86.19187094448449	94.5695211051
Imagem 28	98.49553361542078	34.280354922334396	43.52189739865489	91.5843078608
Imagem 29	92.5640279394645	74.89634473369364	77.08988256549232	93.2597755824
Imagem 30	99.24584046027056	13.013178353852819	23.01074008806602	83.9151851454
Imagem 31	98.72228675319428	28.35894746217257	34.63765699427227	92.105360895
Imagem 32	94.84320817330996	62.81796981112734	66.68814549124924	92.8309844842
Imagem 33	82.08561191778239	95.21639042357273	93.64805513637695	95.1963134422
Imagem 34	91.01277230491935	65.41284016743461	69.12581975525657	87.0303769878
Imagem 35	99.53933255969336	16.126046944473167	26.817724930923976	90.3072358962
Imagem 36	87.01451549627305	88.77796901893288	88.49399384493199	94.3418966436
Imagem 37	93.30777274311608	77.56194364708443	79.59970769730432	93.6082857206
Imagem 38	94.22508445945947	80.78134291697909	82.50368573631319	95.105750559
Imagem 39	99.80520630423234	6.3263850114771385	18.233534690047502	82.2793055233
Imagem 40	99.97984277363436	0.4802262761097602	11.628925959553525	84.5223716326
Médias	94.72733378491691	46.612222948911494	52.394587887663704	89.3413104704
