IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	52.190538176788834	99.44268929040503	94.20506808549013	96.2810723812
Imagem 22	44.44744117052121	99.76969306271835	92.378408568829	94.4324530669
Imagem 23	76.06252601396662	91.32874800637958	89.84356370605994	92.6627153789
Imagem 24	44.534370401513556	99.62914425853322	90.18269469036517	93.8305071719
Imagem 25	38.57784002291753	98.95652539787729	90.3945366980966	90.5886671586
Imagem 26	88.58695652173914	84.52854664600717	85.02751779965958	93.6280093471
Imagem 27	34.70341770836941	99.5850622406639	91.14185291997116	94.8833471991
Imagem 28	66.15264065193543	98.38029801673446	93.74224716161538	94.4645600936
Imagem 29	59.69150174621654	98.72932051652296	93.88256549232159	93.4290215714
Imagem 30	76.96703467578915	94.99681374423288	92.90649408010673	93.4867830246
Imagem 31	45.6845613857886	99.13410060266598	94.3646548266585	94.3498386026
Imagem 32	49.74831276333943	99.49206837343995	93.48065103368721	94.9731023487
Imagem 33	37.548557420328116	99.81123388581952	92.3746030315998	95.5079052955
Imagem 34	42.89754187513596	98.7579473445589	90.6560295675298	88.951458316
Imagem 35	72.370503217639	98.04260159238962	94.75202495301028	95.8222401981
Imagem 36	29.99495600515608	99.69395438898451	88.47007752497676	94.7177924932
Imagem 37	53.827117462530495	99.41916496544006	93.51881924145647	94.9724587415
Imagem 38	38.55926238738739	99.47514026423973	91.67091221410183	95.6258330955
Imagem 39	86.02797945811935	92.19192671174804	91.40677514966413	95.2869988813
Imagem 40	81.69320701471477	96.3906722150437	94.74385555992212	96.011953233
Médias	56.013313303994835	97.38778257622026	91.95716761525611	94.1953358799
