IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	50.11593377537322	99.54563203294168	94.06664261881144	96.285865516
Imagem 22	46.224125143280965	99.74941773415405	92.59821452701182	94.1743066858
Imagem 23	53.581834158072425	98.42952551834131	94.06648879930532	92.796595661
Imagem 24	43.24679419802396	99.75149402661243	90.06330111959632	93.8488135484
Imagem 25	34.895120476175315	99.19267463999074	90.07497145126855	90.2774412841
Imagem 26	50.40760869565217	99.24174178038824	93.2377095438682	93.7188230251
Imagem 27	41.853942311021854	99.48456545500697	91.98494953136266	94.6849343428
Imagem 28	46.00846262341326	99.77764663730056	92.03944193095857	94.1766016461
Imagem 29	49.9017753201397	99.41623004249351	93.26874435411021	93.0732796244
Imagem 30	51.523868760690405	99.19961255129873	93.6722267542219	93.2953505387
Imagem 31	44.745214888136964	99.12074101196426	94.2686669400594	94.3752135962
Imagem 32	52.902792796151985	99.39314727966992	93.77489591031164	94.7757753144
Imagem 33	53.279275881576474	99.48025373439738	93.96202617176063	95.4736322522
Imagem 34	34.814630659747046	99.32467340763156	89.96822391995131	89.3535880806
Imagem 35	49.73450082638816	99.62671905697445	93.23167625993321	95.4807656824
Imagem 36	40.903995964804125	99.56863166953528	90.12165735584776	94.5778232339
Imagem 37	48.246775880097594	99.67098104643571	93.0158601277471	94.9311173573
Imagem 38	49.23282657657658	99.26933319543915	92.85891407162275	95.4726493831
Imagem 39	53.292013458473534	99.09785553280808	93.26319683483486	95.0423689572
Imagem 40	60.25801249748035	99.2521900149562	94.88298348081796	95.823903089
Médias	47.75847524456381	99.37965331841701	92.72103958517009	94.0819424409
