IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	41.300898995240615	99.82454094129221	93.33754170799892	71.910726237
Imagem 22	38.507180904861436	99.92409748793878	91.71854027223509	84.2700715668
Imagem 23	69.19483882902465	95.17394338118022	92.64654935819277	89.6783569643
Imagem 24	38.41706958166912	99.85807426902811	89.32351152260594	85.6504645717
Imagem 25	34.029347168730304	99.27419609328159	90.0221619401402	75.071334082
Imagem 26	80.6955052878966	93.67191561867796	92.0764990315721	93.5126474814
Imagem 27	29.090342463381695	99.76533482524438	90.56822278298486	88.2612235165
Imagem 28	57.46434728099044	99.39353383775581	93.35928513755509	83.6338088857
Imagem 29	58.36001164144354	99.05524155286935	94.00271002710026	85.0359555518
Imagem 30	71.97558700046649	96.83515587163213	93.95301042460079	89.6877217658
Imagem 31	38.16473915458815	99.67739062453612	94.18845171088267	68.4281971041
Imagem 32	42.246168760953054	99.79344455549575	92.83898992447865	80.0391343676
Imagem 33	31.231378465019798	99.95395948434623	91.74576003964053	86.2024419329
Imagem 34	37.88184841045402	99.15808230443997	90.27066008608838	77.7296202485
Imagem 35	67.91152371909835	98.72608830524247	94.77636495580487	90.2723504646
Imagem 36	28.812419436193466	99.78646729776248	88.35726469499924	78.1904911536
Imagem 37	49.74555594283723	99.6746080270262	93.21298401356863	86.303187942
Imagem 38	27.82939189189189	99.74558523153296	90.53205350742331	79.5488670847
Imagem 39	74.67327784664424	96.93167483508076	94.09644370057248	92.7904959538
Imagem 40	76.00080628905462	97.72909947398944	95.29449496113	93.1755176617
Médias	49.67661195352198	98.69762170091767	92.31607498997873	83.9696307268
