IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	25.2369523654558	99.99442182183299	91.70799891784651	66.4948548027
Imagem 22	28.248263771829272	99.99012227582766	90.40510958768367	67.9742479761
Imagem 23	53.84544235304999	99.03060207336523	94.63473452621443	81.3265079609
Imagem 24	27.007567794828674	99.99510600927684	87.48079565677727	70.1934445797
Imagem 25	20.883598052010058	99.85431327379638	88.6558851009474	69.0927821874
Imagem 26	67.71812573443007	98.15042648807533	94.40885264997088	89.9711629872
Imagem 27	18.45631773953392	99.94975160717154	89.34480894015861	67.7499900549
Imagem 28	37.73076320325968	99.9394060741459	90.98663467046771	75.8110548687
Imagem 29	51.491559953434226	99.54979578365443	93.58310749774165	79.879918416
Imagem 30	61.60006219872493	98.56796920802427	94.28201857769325	83.5700958393
Imagem 31	23.705873440735317	99.98020801377521	93.17404451494572	63.5315054823
Imagem 32	29.02419926171744	99.9738602291074	91.39975847587462	76.441969938
Imagem 33	20.54686026777296	99.99488438714958	90.5056420189644	83.3285636586
Imagem 34	25.53528698840859	99.72428118047722	88.96400964550514	71.9414125594
Imagem 35	58.08277947744136	99.47988832592286	94.17372451624244	82.4155000079
Imagem 36	18.50865885781539	99.86768502581755	86.76615254099617	62.7652891075
Imagem 37	38.56395956779365	99.88859988186405	91.95220309624337	75.2177590529
Imagem 38	13.50295608108108	99.93691341107119	88.8634406517554	68.4143887303
Imagem 39	59.24207543828581	98.91173976880286	93.8586954069917	84.9347515715
Imagem 40	65.41019955654102	99.0639657330064	95.29313981904336	85.3152079685
Médias	37.217075105207456	99.59219702860824	91.52203784060319	75.3185203875
