IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	39.40934792336167	99.75253173222717	93.06384705564072	96.3032163332
Imagem 22	36.723754298428965	99.91369988354684	91.47125856927941	94.3409654005
Imagem 23	66.48013689127318	95.60905103668262	92.77522574607559	92.7907234218
Imagem 24	37.16102585663233	99.8058717013143	89.06490054290283	93.8891117763
Imagem 25	28.716936690326893	99.44460222790242	89.4150782438355	90.5053801899
Imagem 26	78.29391891891892	94.67108683678146	92.65755576925682	93.717301735
Imagem 27	26.784168426884587	99.72959112312928	90.23702235039653	94.7822628979
Imagem 28	55.61510734994515	99.4093409488482	93.10668356691461	94.499661178
Imagem 29	49.84720605355064	99.37342712158093	93.22448057813911	93.2758011067
Imagem 30	68.87342559477531	97.28734929010221	93.99312237751207	93.4795087101
Imagem 31	36.11938790970153	99.58337868996843	93.9203165347021	94.2209871348
Imagem 32	39.971661881501916	99.7442402808744	92.5208629981435	94.9078800208
Imagem 33	29.945313973222703	99.91405770411296	91.55701704993355	95.5307676572
Imagem 34	34.699648839305134	99.36895711860655	89.9894079733171	88.0679895205
Imagem 35	62.446812251643976	99.07662082514734	94.38151602158146	95.6806084618
Imagem 36	23.12671635935661	99.78539156626506	87.4407732642618	94.5421043421
Imagem 37	46.392471244336	99.69377921014726	92.79573093717296	94.9816421379
Imagem 38	27.87865990990991	99.65250665770354	90.45721164467247	95.5448377416
Imagem 39	77.34018062688153	95.65884980457845	93.32545350374217	95.2590520648
Imagem 40	72.03386414029428	98.21593903568122	95.28229868235017	95.95147696
Médias	46.892987257012564	98.78451363976004	92.03398817049154	94.1135639395
