IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	75.28373266078184	97.88891311733951	95.38326269275859	92.7644967116
Imagem 22	70.80102488031825	97.68549326235235	94.0936157179277	89.6313634892
Imagem 23	76.45100124867041	91.80522328548645	90.31147784381565	89.3917608337
Imagem 24	64.22903090182889	98.50407016895143	92.62733436957942	86.6169895454
Imagem 25	59.23862876786453	96.83801950203541	91.5062446118501	84.8148762936
Imagem 26	71.91906580493537	97.11882467402103	94.02057852844108	89.9357007656
Imagem 27	68.15332940891305	97.92738330199285	94.05281182408075	90.5524631183
Imagem 28	69.57216737188529	98.14002992813033	94.02867929975235	89.750472452
Imagem 29	72.31519208381839	97.0986839391064	94.02168021680217	90.1418666341
Imagem 30	73.36339605038097	96.45790318880478	93.78039381825229	89.6281345617
Imagem 31	68.41068632897328	97.12966719775163	94.56699548901997	89.2680975071
Imagem 32	74.33163056042358	96.79762179339329	94.08265892828176	91.0274884048
Imagem 33	75.1423722421271	97.60333537957847	94.92060631996216	91.2406806325
Imagem 34	60.812952546691946	95.25689824235842	90.26119487075474	84.9549142141
Imagem 35	73.88261771635544	98.03432943852755	94.93863164110216	92.289244267
Imagem 36	65.86616600347475	98.12123493975903	92.92708681172893	89.5759379757
Imagem 37	71.64517253398397	97.75179017399144	94.373173108152	90.6287500163
Imagem 38	75.66863738738738	97.04889210641984	94.30976415796141	92.2262902456
Imagem 39	76.8939259783956	96.31490787269682	93.84110113099615	91.6332506511
Imagem 40	80.77000604716791	96.56414378300285	94.79444753115698	93.2009286934
Médias	71.2375368262189	97.00436826478499	93.64208694561883	89.9636853506
