IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	28.75971199609486	99.91176336354002	92.02497970962214	96.1848111043
Imagem 22	29.54284943699009	99.97660539011811	90.56636067995713	94.1012927497
Imagem 23	56.33353373722425	98.19627192982456	94.12362831420434	92.8790258676
Imagem 24	29.264767710742063	99.89776997156048	87.7871640647879	93.8964499475
Imagem 25	20.396600566572236	99.75964319900702	88.50558110773592	90.2641834039
Imagem 26	66.77071092831962	97.92341231641967	94.09326705584375	93.7844666006
Imagem 27	19.758301880259012	99.84096642682124	89.4196106705119	94.4710525603
Imagem 28	44.964739069111424	99.77764663730056	91.88923421127416	94.409266748
Imagem 29	40.47220605355064	99.72874293493956	92.3717253839205	92.9127421713
Imagem 30	60.11506764111336	98.53789095358263	94.08326159753739	93.3890387058
Imagem 31	27.483460431291352	99.86294049539342	93.40432531331257	93.7454758198
Imagem 32	30.217383198478693	99.88877783757464	91.46915160144916	94.6854668569
Imagem 33	22.666415236658498	99.96879476161244	90.73582738349963	95.4511633963
Imagem 34	27.70751110972995	99.68843246206889	89.24841683005431	86.4823575208
Imagem 35	52.6251011006787	99.55278668183229	93.53772925803558	95.3565933154
Imagem 36	16.376169926581852	99.8585413080895	86.41507901410611	94.1057383562
Imagem 37	38.661554548623215	99.8461123949471	91.92784453827	94.8747502719
Imagem 38	17.599239864864867	99.78902189932	89.25929098606409	95.3699968301
Imagem 39	66.3892332211794	97.86173666687347	93.85283064832652	95.2019706039
Imagem 40	61.850433380366866	99.1428164457151	94.96429200601682	95.8252165788
Médias	37.89774955192155	99.45053370382705	91.4839800187265	93.8695529705
