IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	75.86543546353171	97.60087628107932	95.1916313463793	96.3397375133
Imagem 22	70.1807025824287	97.56020212942937	93.90218634860865	94.3898549454
Imagem 23	75.2717014290339	91.65719696969697	90.063123416853	92.6504805973
Imagem 24	64.65471936094177	98.10004404591652	92.36556959744092	93.8981762058
Imagem 25	60.19034280803387	96.99632890487761	91.77706261763657	90.5684056757
Imagem 26	72.23487074030552	96.86246853460035	93.8345681353361	93.7198040244
Imagem 27	68.83548599328232	97.77560207417078	94.00955299206922	94.9116211861
Imagem 28	69.16784203102961	98.04202583935759	93.88659091626708	94.4353354016
Imagem 29	71.96231082654249	96.98780890300756	93.88075880758807	93.4107079662
Imagem 30	73.77935002332453	96.19331650990289	93.59470702500012	93.4562776801
Imagem 31	70.41563557396091	96.38054051914379	94.06362239356835	94.3207901945
Imagem 32	74.39501845706403	97.02262884088056	94.28813467673618	95.0109060766
Imagem 33	75.47425985291345	97.35522815633313	94.7417734633663	95.5369495903
Imagem 34	61.86643463128127	94.92582478411691	90.13093547878213	89.7307078671
Imagem 35	73.24963955410205	97.92265536138972	94.76013828727514	95.7546589399
Imagem 36	65.10956677688729	98.34767641996558	92.99522576103534	94.7588686776
Imagem 37	71.40118508191007	97.51551829552638	94.13590271011512	94.9784513232
Imagem 38	75.6545608108108	96.99718178762572	94.26287528009341	95.5783330569
Imagem 39	76.62475650788029	96.0010960150547	93.53297573343319	95.2111145391
Imagem 40	80.11288046764766	96.81443120656851	94.94306144665934	95.960289335
Médias	71.32233494864562	96.8529325789322	93.51801982171219	94.2310735398
