IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	38.50221697921328	99.77890130174394	92.98674361980342	96.3327230233
Imagem 22	36.22142808981188	99.91785892530362	91.40774906087003	94.242535987
Imagem 23	66.10553577209453	95.85825358851675	92.96374115349833	92.85188456
Imagem 24	36.58555812486862	99.81348457577258	88.97253947872316	93.8977486689
Imagem 25	28.850622274564724	99.44723195220213	89.43629232095545	90.4769122965
Imagem 26	77.65496474735605	95.03451541997622	92.8977439467613	93.7774739556
Imagem 27	26.714913951314102	99.74046964116431	90.23747296322999	94.7123540169
Imagem 28	54.16392414981978	99.47309629692077	92.95241617913061	94.5325944431
Imagem 29	49.08323632130384	99.42241841660135	93.17253839205058	93.1808423975
Imagem 30	68.44192194060021	97.33068236853508	93.98140427890877	93.4766587477
Imagem 31	35.48810666127974	99.643744247954	93.91896459263732	94.0854573835
Imagem 32	40.10216637458518	99.74885318162016	92.54068960545051	94.8749947347
Imagem 33	29.632283613049214	99.92173112338858	91.52638572940832	95.5361531058
Imagem 34	34.56602131825103	99.36790274453571	89.9691253690307	87.4251680006
Imagem 35	61.80328445335302	99.10660738289732	94.32517342251991	95.5386130806
Imagem 36	23.325673933755535	99.7875430292599	87.47461711325506	94.3772283386
Imagem 37	46.28441965841757	99.69533363040031	92.78310057377936	94.9412443412
Imagem 38	27.927927927927925	99.65922899914678	90.46938471873436	95.445343092
Imagem 39	77.9174783070657	95.40604255847137	93.17838340183071	95.2129658642
Imagem 40	71.50574480951421	98.29428103411438	95.29268810501448	95.8827376228
Médias	46.54387147040732	98.82240902092626	92.02435770127961	94.040081683
