IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	62.478135296749784	99.1698656673276	95.10280458111642	86.0372659907
Imagem 22	57.416897039983816	99.35586840791882	93.75264622951705	83.8256814885
Imagem 23	65.12972298016001	96.38108054226475	93.3407719683438	86.6398862031
Imagem 24	53.4449232709691	99.5214764626235	91.62127458268567	79.8758419242
Imagem 25	46.016487888722665	98.57153376040057	91.11897486357543	76.9118023339
Imagem 26	60.946680376028205	98.75064989884743	94.10274816811366	85.133132022
Imagem 27	53.84535475605111	99.17685880201616	93.27775775054073	81.6933959637
Imagem 28	57.17285691897822	99.44991253398528	93.36560017682109	83.387655049
Imagem 29	60.88838766006985	98.86649614258015	94.1513098464318	85.2037658773
Imagem 30	62.875136059710776	98.4670286253218	94.34060907070972	85.4141478698
Imagem 31	55.67900611080249	98.8164392237583	94.96717034019369	80.6295896788
Imagem 32	63.47738543569857	98.76271751108378	94.49856707701736	85.5020519034
Imagem 33	64.10333773335847	99.13699611213424	94.95258902227528	86.1658532427
Imagem 34	45.20339351751142	98.46272260472571	90.73806143375475	77.224303259
Imagem 35	61.427014101346835	99.29686692172474	94.44281676936045	85.4389467367
Imagem 36	52.292215434624225	99.3567125645439	91.77774969991788	80.3892096923
Imagem 37	59.118159637504355	99.304656006798	94.10387571722421	83.8307012257
Imagem 38	62.630208333333336	98.78480750833829	94.15286675894158	86.0246487927
Imagem 39	65.47193199929166	98.29497280641893	94.11403797656803	86.3106328368
Imagem 40	71.13082039911308	98.47436588765554	95.41058546655283	89.2176860103
Médias	59.037402747500394	98.82010139952337	93.66664087498307	83.742809905
