IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	97.42098197941667	70.75107633483269	73.70727748218955	96.3612172629
Imagem 22	94.19459240779449	71.274538346365	74.33675353806517	94.3085318557
Imagem 23	95.35217129907969	62.04694976076554	65.28706982268754	92.4422540536
Imagem 24	91.84359890687408	77.19835344401002	79.7094005541664	93.7527340156
Imagem 25	90.85526944011204	67.92367488192538	71.17548555411621	90.7747702956
Imagem 26	94.29347826086956	68.19227739999279	71.40135354164691	93.6872057573
Imagem 27	95.57810173482461	72.18362938443128	75.22801009372748	94.9478581588
Imagem 28	93.985268766651	74.29605665268616	77.12963422390423	94.5934288653
Imagem 29	93.85186263096624	69.90077973513759	72.87443541102078	93.6153695908
Imagem 30	94.33602861141347	66.38525655731436	69.62578702806485	93.5467229811
Imagem 31	95.83354376041613	67.17152724861704	69.72911587495437	94.0489373782
Imagem 32	95.65606473022858	71.1514312805925	74.11275932301147	95.158593033
Imagem 33	95.8174618140675	71.66462042152651	74.54942678889164	95.4928113051
Imagem 34	90.95061996954536	65.75814767563236	69.41202983796452	89.645892338
Imagem 35	95.83641031051096	73.10360872712232	76.01743465385361	95.6779583716
Imagem 36	94.31149470380541	74.6218803786575	77.79256879326371	94.6413998064
Imagem 37	94.94248867201115	72.88935636638722	75.74338710259464	94.7149724309
Imagem 38	96.1887668918919	71.7811619308633	74.90813837629227	95.3996203681
Imagem 39	95.93058261023553	72.11675662261928	75.15011526506453	95.1606050726
Imagem 40	96.35154202781698	70.97835929471853	73.82136517013808	95.8941885751
Médias	94.67651647642656	70.56947212220987	73.58557742178088	94.1932535758
