IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	40.0439327990888	99.79107187229015	93.16845522589954	96.1534944712
Imagem 22	37.78234778504484	99.93033605057394	91.62710459700739	93.7390385844
Imagem 23	44.67465199093558	99.36403508771929	94.04354300985769	92.8695840955
Imagem 24	35.51608156401093	99.87656267842675	88.84143182176567	93.6644850838
Imagem 25	26.367889995862114	99.60869702420399	89.2227974597271	89.8573391317
Imagem 26	42.02041715628672	99.5696511394464	92.49411945298498	93.634961596
Imagem 27	32.02673222757021	99.69747359369254	90.89131218457102	94.2599673289
Imagem 28	37.79344930261714	99.90252281493034	90.9640809588034	93.7227295956
Imagem 29	40.61408614668219	99.76174759684805	92.41824751580849	92.5764876856
Imagem 30	42.403980718395275	99.62886492824552	92.99437981963142	93.0399431104
Imagem 31	35.851724660370685	99.57744109410099	93.89102445663195	94.26556587
Imagem 32	43.87188187479026	99.71041234207222	92.96245561543591	94.4357345574
Imagem 33	43.514991514237224	99.80100266011868	93.07822248248834	95.282855161
Imagem 34	26.163025575686007	99.72638992861887	89.05685890068284	88.6340069553
Imagem 35	40.15191475894081	99.81594457656912	92.16837873044348	94.936624506
Imagem 36	33.029759569579106	99.7057874354561	88.96871023347744	94.1657319253
Imagem 37	39.37260369466713	99.85336635612805	92.02618093897729	94.6502243709
Imagem 38	38.65076013513514	99.55322284561883	91.7507134773964	95.2079209938
Imagem 39	43.4602443775456	99.52592179002005	92.38438530562159	94.7248340977
Imagem 40	51.146946180205596	99.6108335792119	94.18056816590553	95.5576374023
Médias	38.72287110138257	99.70056426971458	91.85664851765587	93.7689583261
