IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	69.03958019769759	98.68354995258548	95.39769140589773	89.9183036095
Imagem 22	63.91005326680601	98.7959574114124	94.13505454610971	86.8993965457
Imagem 23	70.7071174212644	94.40839314194578	92.10259917305174	87.9694821067
Imagem 24	58.915808282531	99.16530269332623	92.26419769773152	82.8987111354
Imagem 25	52.621192348091796	97.85887847518066	91.44395647051921	81.4791419334
Imagem 26	66.39615158636897	98.17616505629024	94.2688933736055	87.6588525036
Imagem 27	61.19671733785796	98.73187561191664	93.84733237202596	86.6525405829
Imagem 28	63.02460429399781	99.00889413450797	93.83020663710627	86.4586152838
Imagem 29	66.46536670547147	98.18319650150585	94.24525745257452	87.6804656627
Imagem 30	68.17757735966413	97.70691544951696	94.28337066599363	87.3485571197
Imagem 31	62.380687844048275	98.1954656559559	94.99961694974832	85.2368395197
Imagem 32	69.05924903985981	97.99082545296123	94.49451163461366	88.7427419582
Imagem 33	69.88874222138412	98.55074687947616	95.12736773350751	88.9449835951
Imagem 34	52.350912085521614	97.3134548675179	90.79214837851846	81.1062437328
Imagem 35	67.52822027640046	98.83000723813463	94.81783310871417	89.136231923
Imagem 36	58.81017766070728	98.76452237521515	92.33053256680776	85.3397638445
Imagem 37	65.07493900313698	98.80102384480668	94.43632492511999	87.2555072033
Imagem 38	69.26027590090091	98.09809447475244	94.40354191369741	89.6727534148
Imagem 39	71.21657517265805	97.51742250346382	94.1672719398366	89.149811303
Imagem 40	76.07337230397097	97.73215175964268	95.30533609782319	91.5197898662
Médias	65.10486601541699	98.12564217400575	93.83465225215014	87.0534366422
