IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	58.959443517878206	99.18152913076771	94.72314906664262	96.3780692346
Imagem 22	53.83655855977345	99.42813175844285	93.33690668156063	94.1730847868
Imagem 23	61.0461083105952	97.10576156299841	93.5976748266693	92.810093685
Imagem 24	49.93693504309439	99.51005715093612	91.01033993377035	93.8692565306
Imagem 25	42.76347200560206	98.75929607539945	90.81881824049542	90.3881432771
Imagem 26	57.516891891891895	98.83610194532099	93.75601034795682	93.8030131142
Imagem 27	50.469199071990026	99.18255707336783	92.84336697909157	94.7529387895
Imagem 28	53.45870553204827	99.55634708200729	92.9221942055004	94.3185735327
Imagem 29	57.48326542491269	98.9825281571022	93.83017163504968	93.1577503419
Imagem 30	59.42699424661795	98.61894930029823	94.07514906773513	93.357676585
Imagem 31	53.01752436745619	98.6303945532454	94.5602357786961	94.3808294136
Imagem 32	60.2185018084194	98.95799697598729	94.27641895423659	94.8454637973
Imagem 33	60.8259475768433	99.12676488643339	94.5521295524674	95.5205734649
Imagem 34	42.751483887007055	98.70311989287559	90.58797016203548	89.3093375206
Imagem 35	57.56584731160108	99.34805087374625	93.99252671766047	95.4631848373
Imagem 36	48.22619514655607	99.41372633390706	91.17081667463877	94.5696658244
Imagem 37	55.75461833391425	99.36631467683603	93.72225830897477	94.9261146868
Imagem 38	58.04124436936937	98.87840318535564	93.64655704888617	95.434073014
Imagem 39	61.2608464671507	98.48367351159088	93.74230250425195	95.0241542268
Imagem 40	67.17194114089902	98.75517616775362	95.21634843413332	95.8026046548
Médias	55.48658620068102	98.94124401471862	93.31906725602263	94.1142300659
