IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	77.21596225033561	97.28241301845362	95.05816574984219	95.6448853313
Imagem 22	60.929809183467064	98.84430627183497	93.77877070815353	88.3786325021
Imagem 23	93.05831753225732	69.53997208931419	71.82796956758435	89.6410972471
Imagem 24	61.267605633802816	98.79770961234155	92.362866346782	89.6836726078
Imagem 25	69.09953210045516	94.52649184259522	90.92082635600832	89.1971849273
Imagem 26	98.06844888366626	35.87801977751582	43.5241745788806	88.3031833347
Imagem 27	57.88635340558883	98.86967017369366	93.53640951694304	92.2071217861
Imagem 28	82.55759285378468	92.90049950471052	91.41199767245696	94.2745008331
Imagem 29	77.05180442374855	94.96885185032386	92.74435411020777	93.2217825176
Imagem 30	89.24739542839372	81.47026586118122	82.37192343574651	91.3917721754
Imagem 31	65.74920458562698	97.3171962672314	94.50029968049103	91.7944441194
Imagem 32	70.83038144598979	97.8826785576997	94.61347127845569	92.3129793863
Imagem 33	56.78295304544597	99.39686924493554	94.3070789882655	83.6579980808
Imagem 34	65.22266074147736	93.68219056756956	89.55445879250897	87.1762219894
Imagem 35	88.04022927875656	89.90900630751733	89.66947177686528	94.37326916
Imagem 36	50.65011489099367	99.32981927710843	91.49075386045504	87.4244154382
Imagem 37	71.77413733008017	97.59013046767325	94.24912489625059	92.1926836572
Imagem 38	62.10585585585585	98.74757607880652	94.05322789347208	93.6469624311
Imagem 39	93.25305471931999	78.75850445643857	80.60479195896474	92.7469569022
Imagem 40	93.44890143116307	79.99938954286935	81.50637594351767	94.0171987919
Médias	74.21201575101047	89.7845780384907	87.60432565559259	91.0643481609
