IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	35.670992149046086	99.80983483521555	92.70042384344846	96.3148160241
Imagem 22	34.080641898725645	99.9412535351855	91.14200005405064	94.3174595655
Imagem 23	63.09485270314017	96.63377192982456	93.37091643683384	92.8097689945
Imagem 24	34.51492537313433	99.84176096661754	88.6409407312293	93.8948992993
Imagem 25	25.59442340134322	99.57766627746747	89.08648573014791	90.4960587769
Imagem 26	74.2325205640423	96.23856564107052	93.53297846884551	93.733539008
Imagem 27	24.391426295924372	99.76947902259106	89.9603460706561	94.7633863438
Imagem 28	51.96364206237267	99.56214302274117	92.71199361278886	94.5096773276
Imagem 29	46.125582072176954	99.52143240232682	92.89205058717253	93.2500836598
Imagem 30	65.6118799564609	97.79562081007367	94.06433236133208	93.4795039141
Imagem 31	33.26094641684764	99.68778141730414	93.7603367237036	94.1832866921
Imagem 32	36.83209664789888	99.80010763435074	92.19056974459725	94.8976752171
Imagem 33	27.395813690363944	99.9365664006548	91.27232595328724	95.533443934
Imagem 34	32.18558687342677	99.49653638117731	89.7338471593086	87.894444845
Imagem 35	58.62432746070261	99.2860097197808	94.07411080110161	95.6460312324
Imagem 36	20.41697024043042	99.80636833046471	87.02201203938522	94.4982854659
Imagem 37	43.39839665388637	99.7497383392574	92.4569665475804	94.9748229069
Imagem 38	24.33136261261261	99.70059725418207	90.04467969035306	95.5201319157
Imagem 39	74.02514609527182	96.4627665074343	93.60470624326118	95.2493017235
Imagem 40	68.09111066317274	98.62341917038876	95.20234529923796	95.935226487
Médias	43.692132191549014	99.06207097990544	91.87321840491606	94.0950921666
