IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	66.55412276776634	98.71904745001191	95.15375597438903	96.3090030745
Imagem 22	60.59267749983144	98.93372566960572	93.81120109542641	94.325029596
Imagem 23	67.15996855200481	95.22976475279107	92.49897643782366	92.7150317799
Imagem 24	56.16722724406138	99.13811385597529	91.77040391070263	93.8881275741
Imagem 25	50.119362128783784	98.22072853881998	91.39972286290741	90.4421355591
Imagem 26	63.832990599294945	98.27757501505707	94.04270112373754	93.7145246879
Imagem 27	58.41268741992452	98.77797980739842	93.52514419610671	94.8266645934
Imagem 28	60.20686412787965	99.16169620840095	93.55550242903475	94.3248007897
Imagem 29	63.79511059371362	98.38741284706465	94.0925925925926	93.2766774629
Imagem 30	65.81013839216297	97.87158114756188	94.1544715813574	93.3898189644
Imagem 31	60.976718347558204	97.95845662091419	94.65847690206982	94.3595125468
Imagem 32	66.5311905738469	98.37472130391328	94.52650456913177	94.9146327028
Imagem 33	67.633415048086	98.61520360139144	94.9147503322147	95.5145972657
Imagem 34	50.97113024021878	97.57810275929695	90.81829040182092	89.6220508822
Imagem 35	64.64465309280163	98.94374935373797	94.5473886332187	95.6770467188
Imagem 36	55.23454576024211	99.1507099827883	92.07873433029792	94.7115301991
Imagem 37	62.63157894736842	98.87822671737531	94.18732633250335	94.9872286867
Imagem 38	66.14935247747748	98.32975670295008	94.20696931032772	95.5611087948
Imagem 39	68.20612714715779	97.7226668321029	93.96290765711915	95.1599409619
Imagem 40	73.18282604313646	98.13607089442144	95.34011807804715	95.9238070461
Médias	62.440634350165865	98.32026450307896	93.66229693754144	94.1821634943
